__run_id,__done,input_size,sampling_rate,cache_strategy,input_description,execution_time,execution_time_1,execution_time_2,average_cpu_usage,memory_usage,energy_consumption,dram_energy,package_energy,pp0_energy,pp1_energy
run_0_repetition_0,DONE,10,200,tower_of_hanoi,10 disks,0.00016530603170394897,7.046700920909643e-05,6.83270045556128e-05,10.09529048,28596.47395833,7.9079236412048335,0.0,0.0,0.0,0.0
run_1_repetition_0,DONE,10,200,tower_of_hanoi_cache,10 disks,3.795698285102844e-05,1.3616983778774738e-05,6.08968548476696e-07,5.60515875,28575.02734375,7.546414882659913,0.0,0.0,0.0,0.0
run_2_repetition_0,DONE,10,200,tower_of_hanoi_lru_cache,10 disks,3.6675017327070236e-05,1.28250103443861e-05,5.710171535611153e-07,3.67559526,28586.33203125,7.394315963745116,0.0,0.0,0.0,0.0
run_3_repetition_0,DONE,15,200,tower_of_hanoi,15 disks,0.004201952018775046,0.0020850939908996224,0.0020953360362909734,3.92857142,28575.12890625,7.436990798950195,0.0,0.0,0.0,0.0
run_4_repetition_0,DONE,15,200,tower_of_hanoi_cache,15 disks,4.220899427309632e-05,1.768802758306265e-05,7.610069587826729e-07,7.48564134,28565.3828125,9.618751205444337,0.0,0.0,0.0,0.0
run_5_repetition_0,DONE,15,200,tower_of_hanoi_lru_cache,15 disks,4.130799788981676e-05,1.7873011529445648e-05,6.789923645555973e-07,6.71679203,28525.55989583,8.002375946044921,0.0,0.0,0.0,0.0
run_6_repetition_0,DONE,20,200,tower_of_hanoi,20 disks,0.11552952200872824,0.05938434397103265,0.05612782703246921,6.51041667,28520.4609375,7.246083068847657,0.0,0.0,0.0,0.0
run_7_repetition_0,DONE,20,200,tower_of_hanoi_cache,20 disks,5.037500523030758e-05,2.644304186105728e-05,6.579793989658356e-07,8.81448422,28513.40234375,7.3691654586792,0.0,0.0,0.0,0.0
run_8_repetition_0,DONE,20,200,tower_of_hanoi_lru_cache,20 disks,4.564999835565686e-05,2.2452964913100004e-05,6.550108082592487e-07,5.13392862,28510.75,7.234732555389405,0.0,0.0,0.0,0.0
