Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729782016783,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,70,71,70,69,70,69,0,0,50,0,0,0,0,0,50,0,0,0,50,0,50,0,47.831146240234375,68719476736,1073741824,28866457600,49020928
207,1729782016784,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,70,71,70,69,70,69,100,0,NaN,0,50,0,0,0,NaN,0,100,0,100,0,0,0,47.831146240234375,68719476736,1073741824,28872896512,49020928
13,1729782016993,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,70,71,70,69,70,69,40.90909194946289,0,23.809524536132813,4.761904716491699,21.052631378173828,4.545454502105713,19.047618865966797,9.090909004211426,33.333335876464844,4.761904716491699,28.571430206298828,4.761904716491699,28.571430206298828,0,35,0,47.831146240234375,68719476736,1073741824,28859658240,49020928
