Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727459001036,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,96,78,76,98,75,76,76,75,66.66667175292969,0,66.66667175292969,0,0,0,50,0,50,0,0,0,66.66667175292969,0,50,0,78.11774444580078,68719476736,2147483648,32862892032,470810624
202,1727459001036,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,96,78,76,98,75,76,76,75,100,0,100,0,0,0,50,0,50,0,50,0,NaN,0,50,0,78.11774444580078,68719476736,2147483648,32864722944,470810624
203,1727459001239,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,96,78,76,98,75,76,76,75,76.19047546386719,38.095237731933594,80,23.809524536132813,90.47618865966797,0,75,10,85,10,76.19047546386719,25,66.66667175292969,23.809524536132813,90,5,78.11774444580078,68719476736,2147483648,33006034944,470810624
200,1727459001443,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,96,78,76,98,75,76,76,75,36.842105865478516,0,30.000001907348633,0,9.523809432983398,0,76.19047546386719,4.761904716491699,19.047618865966797,0,52.38095474243164,0,71.42857360839844,0,55,0,78.11774444580078,68719476736,2147483648,33140097024,470810624
203,1727459001644,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,96,78,76,98,75,76,76,75,38.095237731933594,0,33.333335876464844,0,5,0,100,0,36.842105865478516,0,16.666667938232422,0,40,0,57.142860412597656,0,78.11774444580078,68719476736,2147483648,33264148480,470810624
12,1727459001848,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,96,78,76,98,75,76,76,75,47.619049072265625,5,40,5,40,10,94.73684692382813,9.523809432983398,30.000001907348633,5,28.571430206298828,5.263157844543457,25,0,60.000003814697266,0,104.31791687011719,68719476736,2147483648,32860381184,470810624
