Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729778782817,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,63,66,64,63,62,63,61,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.076568603515625,68719476736,1073741824,27964092416,49020928
206,1729778782817,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,63,66,64,63,62,63,61,100,0,0,0,0,0,0,0,0,0,50,0,100,0,0,0,39.076568603515625,68719476736,1073741824,27964092416,49020928
199,1729778783025,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,68,63,66,64,63,62,63,61,33.333335876464844,0,31.81818199157715,0,9.090909004211426,0,9.523809432983398,0,71.42857360839844,0,45,8.69565200805664,42.85714340209961,0,14.285715103149414,0,39.076568603515625,68719476736,1073741824,27964092416,49020928
208,1729778783225,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,68,77,82,69,66,66,30.000001907348633,0,5.263157844543457,0,5.263157844543457,0,0,0,57.894737243652344,0,30.000001907348633,0,30.000001907348633,0,50,0,39.076568603515625,68719476736,1073741824,27964092416,49020928
206,1729778783434,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,68,77,82,69,66,66,9.090909004211426,0,4.761904716491699,0,0,0,4.761904716491699,0,4.761904716491699,0,0,0,95.45454406738281,0,0,0,39.02798843383789,68719476736,1073741824,27964092416,49020928
208,1729778783640,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,68,77,82,69,66,66,15.000000953674316,0,22.72727394104004,0,4.761904716491699,0,52.38095474243164,0,9.523809432983398,0,9.523809432983398,0,20,0,9.090909004211426,0,39.02798843383789,68719476736,1073741824,28093595648,49020928
207,1729778783849,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,68,77,82,69,66,66,9.523809432983398,0,0,0,0,0,57.142860412597656,0,15.000000953674316,0,28.571430206298828,0,4.761904716491699,0,0,0,39.02798843383789,68719476736,1073741824,28117880832,49020928
199,1729778784057,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,68,77,82,69,66,66,19.047618865966797,0,9.523809432983398,0,9.523809432983398,0,0,0,23.809524536132813,0,10,0,9.523809432983398,0,54.54545593261719,0,39.02798843383789,68719476736,1073741824,28133093376,49020928
200,1729778784257,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,69,71,89,68,69,10.526315689086914,0,50,0,0,0,0,0,20,0,38.095237731933594,0,5,0,21.052631378173828,0,54.14381790161133,68719476736,1073741824,28141817856,49020928
208,1729778784458,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,69,71,89,68,69,14.285715103149414,0,20,0,0,0,19.047618865966797,0,30.000001907348633,0,40,0,5,0,0,0,54.14381790161133,68719476736,1073741824,28153364480,49020928
206,1729778784667,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,69,71,89,68,69,25,0,10,0,0,0,4.761904716491699,0,4.761904716491699,0,4.761904716491699,0,0,0,66.66667175292969,0,54.14381790161133,68719476736,1073741824,28165455872,49020928
199,1729778784874,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,69,71,89,68,69,28.571430206298828,0,4.545454502105713,0,20,0,0,0,40,0,15.000000953674316,0,5.263157844543457,0,60.000003814697266,0,54.14381790161133,68719476736,1073741824,28179574784,49020928
205,1729778785074,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,68,69,69,71,89,68,69,20,0,5.263157844543457,0,0,0,28.571430206298828,0,15.000000953674316,0,60.000003814697266,0,14.285715103149414,0,5,4.761904716491699,54.14381790161133,68719476736,1073741824,28179574784,49020928
207,1729778785280,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,69,70,71,69,70,90,10,0,4.761904716491699,0,28.571430206298828,0,42.105262756347656,0,9.523809432983398,0,4.761904716491699,0,0,0,28.571430206298828,0,68.63389587402344,68719476736,1073741824,28179574784,49020928
205,1729778785489,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,69,70,71,69,70,90,18.18181800842285,0,60.000003814697266,0,0,0,0,0,42.85714340209961,0,0,0,4.761904716491699,0,4.761904716491699,0,68.63389587402344,68719476736,1073741824,28179574784,49020928
203,1729778785695,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,69,70,71,69,70,90,65,0,4.545454502105713,0,0,0,4.761904716491699,0,14.285715103149414,0,36.3636360168457,0,4.761904716491699,0,0,0,68.63389587402344,68719476736,1073741824,28314349568,49020928
207,1729778785899,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,71,68,69,70,71,69,70,90,28.571430206298828,0,10.526315689086914,0,0,0,4.761904716491699,0,5,0,70,0,0,0,4.761904716491699,0,68.63389587402344,68719476736,1073741824,28315209728,49020928
13,1729778786107,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,66,74,66,66,65,66,65,15.000000953674316,0,54.54545593261719,0,0,0,0,0,5,0,40.90909194946289,0,9.090909004211426,0,4.761904716491699,0,68.63389587402344,68719476736,1073741824,28240449536,49020928
