Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727458916888,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,75,78,77,81,78,77,80,50,0,0,0,100,0,50,0,0,0,100,0,100,0,100,0,77.8731918334961,68719476736,2147483648,33102036992,470810624
203,1727458916889,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,77,75,78,77,81,78,77,80,100,0,100,0,0,0,100,0,50,0,50,0,50,0,100,0,77.8731918334961,68719476736,2147483648,33103757312,470810624
202,1727458917093,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,88,86,88,90,88,88,88,85,90.47618865966797,65,95.23809814453125,57.142860412597656,95.23809814453125,63.6363639831543,95.23809814453125,60.000003814697266,100,61.904762268066406,100,65,95,57.142860412597656,95,55,77.8731918334961,68719476736,2147483648,33108037632,470810624
11,1727458917296,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,88,86,88,90,88,88,88,85,76.19047546386719,15.000000953674316,65,21.052631378173828,65,21.052631378173828,65,15.000000953674316,70,15.000000953674316,68.18181610107422,15.000000953674316,73.68421173095703,20,70,25,77.8731918334961,68719476736,2147483648,33108037632,470810624
