__run_id,__done,input_size,cache_strategy,sampling_rate,input_description,execution_time,execution_time_1,execution_time_2,average_cpu_usage,memory_usage,energy_consumption,dram_energy,package_energy,pp0_energy,pp1_energy
run_0_repetition_0,DONE,10,hessian_basic,200,10 elements,0.0034802709706127644,0.001745785993989557,0.0017262499895878136,9.09438966,26282.00022978,150.47079984283448,0.0,0.0,0.0,0.0
run_1_repetition_0,DONE,10,hessian_cache,200,10 elements,0.0023458509822376072,0.0023341159685514867,1.0110088624060154e-06,11.80604063,26409.59570312,184.0906450881958,0.0,0.0,0.0,0.0
run_2_repetition_0,DONE,10,hessian_lru_cache,200,10 elements,0.0020174459787085652,0.0020074089989066124,7.500057108700275e-07,8.46360999,26842.91748047,134.0921606750488,0.0,0.0,0.0,0.0
run_3_repetition_0,DONE,50,hessian_basic,200,50 elements,0.09243344696005806,0.04726438096258789,0.045160726993344724,8.34849076,26895.74080882,147.09868576431273,0.0,0.0,0.0,0.0
run_4_repetition_0,DONE,50,hessian_cache,200,50 elements,0.04407591500785202,0.04406256397487596,2.361019141972065e-06,9.76265045,26863.78308824,154.5711688346863,0.0,0.0,0.0,0.0
run_5_repetition_0,DONE,50,hessian_lru_cache,200,50 elements,0.04532906599342823,0.04531728400615975,1.695007085800171e-06,7.89808942,26871.8448989,143.93438373184208,0.0,0.0,0.0,0.0
run_6_repetition_0,DONE,100,hessian_basic,200,100 elements,0.38143896200926974,0.19032862898893654,0.1910989279858768,8.85137804,26847.23871528,155.5363384552002,0.0,0.0,0.0,0.0
run_7_repetition_0,DONE,100,hessian_cache,200,100 elements,0.17551900300895795,0.17550240200944245,3.6329729482531548e-06,8.11410641,26820.64338235,139.71023419952394,0.0,0.0,0.0,0.0
run_8_repetition_0,DONE,100,hessian_lru_cache,200,100 elements,0.18604166799923405,0.18602468399330974,4.450965207070112e-06,8.00754815,26864.75,141.69769273376465,0.0,0.0,0.0,0.0
