Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729782481906,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,66,65,64,64,63,50,0,50,0,0,0,33.333335876464844,0,100,0,0,0,50,0,50,0,45.123939514160156,68719476736,1073741824,28924801024,49020928
199,1729782481907,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,66,65,64,64,63,NaN,0,0,0,0,0,0,0,0,0,66.66667175292969,0,0,0,0,0,45.123939514160156,68719476736,1073741824,28928208896,49020928
200,1729782482107,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,66,65,64,64,63,57.142860412597656,0,25,0,33.333335876464844,0,20,0,45,0,47.36842346191406,0,45,0,25,0,45.123939514160156,68719476736,1073741824,28928208896,49020928
204,1729782482308,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,68,75,70,79,71,71,69,55,0,45,4.761904716491699,36.842105865478516,4.761904716491699,20,4.761904716491699,47.619049072265625,4.761904716491699,50,0,35,0,60.000003814697266,4.761904716491699,45.123939514160156,68719476736,1073741824,28928208896,49020928
202,1729782482513,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,68,75,70,79,71,71,69,42.85714340209961,0,28.571430206298828,0,9.523809432983398,0,14.285715103149414,0,40,0,20,0,25,0,28.571430206298828,0,44.063331604003906,68719476736,1073741824,28928208896,49020928
203,1729782482716,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,68,75,70,79,71,71,69,36.842105865478516,0,10.526315689086914,0,30.000001907348633,0,15.000000953674316,0,35,0,25,0,10,4.545454502105713,25,0,44.063331604003906,68719476736,1073741824,28945879040,49020928
202,1729782482921,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,68,75,70,79,71,71,69,57.142860412597656,0,23.809524536132813,0,5,0,15.789472579956055,0,35,0,20,0,23.809524536132813,0,15.000000953674316,0,44.063331604003906,68719476736,1073741824,28945874944,49020928
11,1729782483124,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,68,75,70,79,71,71,69,35,0,15.000000953674316,0,5,0,9.523809432983398,0,25,0,19.047618865966797,0,20,0,10,0,44.063331604003906,68719476736,1073741824,28924653568,49020928
