Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1729778702103,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,62,62,62,62,60,61,60,0,0,0,0,0,0,0,0,66.66667175292969,0,0,0,0,0,0,0,36.63531494140625,68719476736,1073741824,27937206272,49020928
201,1729778702103,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,62,62,62,62,60,61,60,100,0,0,0,0,0,0,0,NaN,0,0,0,0,0,0,0,36.63531494140625,68719476736,1073741824,27939356672,49020928
209,1729778702305,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,62,62,62,62,60,61,60,33.333335876464844,0,36.842105865478516,0,15.000000953674316,0,4.761904716491699,0,61.904762268066406,0,36.842105865478516,0,19.047618865966797,0,30.000001907348633,0,37.84208297729492,68719476736,1073741824,27965771776,49020928
205,1729778702515,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,62,62,62,62,60,61,60,45,0,38.095237731933594,0,4.761904716491699,0,4.761904716491699,0,70,0,22.72727394104004,0,20,0,18.18181800842285,0,37.84208297729492,68719476736,1073741824,28004773888,49020928
202,1729778702722,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,62,62,62,62,60,61,60,19.047618865966797,0,0,0,4.545454502105713,0,0,0,57.142860412597656,0,45,0,0,0,0,0,37.84208297729492,68719476736,1073741824,28041175040,49020928
208,1729778702925,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,63,62,62,62,62,60,61,60,23.809524536132813,0,15.000000953674316,0,10.526315689086914,0,10,0,19.047618865966797,0,45,0,9.523809432983398,0,5,0,37.84208297729492,68719476736,1073741824,28067966976,49020928
209,1729778703134,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,65,80,65,65,65,15.000000953674316,0,40.90909194946289,0,0,0,9.523809432983398,0,5,0,14.285715103149414,0,4.761904716491699,0,47.619049072265625,0,37.84208297729492,68719476736,1073741824,28093775872,49020928
208,1729778703344,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,65,80,65,65,65,28.571430206298828,0,0,0,8.69565200805664,0,65,0,5,0,9.523809432983398,0,14.285715103149414,0,0,0,47.285011291503906,68719476736,1073741824,28109398016,49020928
205,1729778703553,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,65,80,65,65,65,38.095237731933594,0,31.81818199157715,0,0,0,4.545454502105713,0,27.272727966308594,0,19.047618865966797,0,20,0,15.000000953674316,0,47.285011291503906,68719476736,1073741824,28122963968,49020928
208,1729778703759,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,65,80,65,65,65,15.000000953674316,0,4.761904716491699,0,0,0,4.761904716491699,0,30.000001907348633,4.545454502105713,14.285715103149414,0,18.18181800842285,0,42.85714340209961,0,47.285011291503906,68719476736,1073741824,28134064128,49020928
207,1729778703968,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,66,65,66,65,80,65,65,65,27.272727966308594,0,0,0,0,0,4.761904716491699,0,80.95238494873047,0,0,0,0,0,0,0,47.285011291503906,68719476736,1073741824,28145975296,49020928
209,1729778704176,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,69,66,66,81,66,66,66,65,42.85714340209961,0,5,0,4.761904716491699,0,0,0,9.523809432983398,0,4.761904716491699,0,55,0,0,0,47.285011291503906,68719476736,1073741824,28155248640,49020928
