Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1727459022054,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,75,74,75,84,87,73,74,100,0,0,0,0,0,0,0,66.66667175292969,0,50,0,0,0,100,0,69.71810913085938,68719476736,2147483648,32797364224,470810624
1004,1727459022055,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,76,75,74,75,84,87,73,74,100,0,50,0,0,0,0,0,0,0,NaN,0,100,0,50,0,69.71810913085938,68719476736,2147483648,32798994432,470810624
12,1727459023060,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,75,74,74,74,87,73,88,74,54.000003814697266,6,66,7.920792102813721,49,3.9603960514068604,42,3.0303030014038086,47.47474670410156,4.95049524307251,45.5445556640625,5,36,6.93069314956665,38,2.0202019214630127,76.34566497802734,68719476736,2147483648,32794939392,470810624
